START DATE	Week	KICKOFF	AWAY	HOME	status
9/5/2012	1 	8:30PM	Dallas 	NY Giants	open
9/9/2012	1 	1:00PM	Indianapolis 	Chicago	open
9/9/2012	1 	8:20PM	Pittsburgh 	Denver	open
9/9/2012	1 	1:00PM	Philadelphia 	Cleveland	open
9/9/2012	1 	4:15PM	Carolina 	Tampa Bay	open
9/9/2012	1 	4:15PM	Seattle 	Arizona	open
9/9/2012	1 	1:00PM	Atlanta 	Kansas City	open
9/9/2012	1 	1:00PM	Buffalo 	NY Jets	open
9/9/2012	1 	1:00PM	St. Louis 	Detroit	open
9/9/2012	1 	4:15PM	San Francisco 	Green Bay	open
9/9/2012	1 	1:00PM	Washington 	New Orleans	open
9/9/2012	1 	1:00PM	Miami 	Houston	open
9/9/2012	1 	1:00PM	New England 	Tennessee	open
9/9/2012	1 	1:00PM	Jacksonville 	Minnesota	open
9/10/2012	1 	10:15PM	San Diego 	Oakland	open
9/10/2012	1 	7:00PM	Cinncinati 	Baltimore	open
9/13/2012	2 	8:20PM	Chicago 	Green Bay	open
9/16/2012	2 	8:20PM	Detroit 	San Francisco	open
9/16/2012	2 	1:00PM	Cleveland 	Cinncinati	open
9/16/2012	2 	1:00PM	Kansas City 	Buffalo	open
9/16/2012	2 	4:15PM	Tennessee 	San Diego	open
9/16/2012	2 	1:00PM	Minnesota 	Indianapolis	open
9/16/2012	2 	4:15PM	Oakland 	Miami	open
9/16/2012	2 	1:00PM	Baltimore 	Philadelphia	open
9/16/2012	2 	1:00PM	Tampa Bay 	NY Giants	open
9/16/2012	2 	1:00PM	Houston 	Jacksonville	open
9/16/2012	2 	1:00PM	New Orleans 	Carolina	open
9/16/2012	2 	1:00PM	Arizona 	New England	open
9/16/2012	2 	4:05PM	Washington 	St. Louis	open
9/16/2012	2 	4:05PM	Dallas 	Seattle	open
9/16/2012	2 	4:15PM	NY Jets 	Pittsburgh	open
9/17/2012	2 	8:30PM	Denver 	Atlanta	open
9/20/2012	3 	8:20PM	NY Giants 	Carolina	open
9/23/2012	3 	1:00PM	St. Louis 	Chicago	open
9/23/2012	3 	4:15PM	Houston 	Denver	open
9/23/2012	3 	1:00PM	Buffalo 	Cleveland	open
9/23/2012	3 	4:05PM	Philadelphia 	Arizona	open
9/23/2012	3 	4:05PM	Atlanta 	San Diego	open
9/23/2012	3 	1:00PM	Jacksonville 	Indianapolis	open
9/23/2012	3 	1:00PM	Tampa Bay 	Dallas	open
9/23/2012	3 	1:00PM	NY Jets 	Miami	open
9/23/2012	3 	4:15PM	Pittsburgh 	Oakland	open
9/23/2012	3 	8:20PM	New England 	Baltimore	open
9/23/2012	3 	1:00PM	Cinncinati 	Washington	open
9/23/2012	3 	1:00PM	Kansas City 	New Orleans	open
9/23/2012	3 	1:00PM	Detroit 	Tennessee	open
9/23/2012	3 	1:00PM	San Francisco 	Minnesota	open
9/24/2012	3 	8:30PM	Green Bay 	Seattle	open
9/27/2012	4 	8:20PM	Cleveland 	Baltimore	open
9/30/2012	4 	1:00PM	New England 	Buffalo	open
9/30/2012	4 	4:05PM	Oakland 	Denver	open
9/30/2012	4 	4:15PM	Washington 	Tampa Bay	open
9/30/2012	4 	4:05PM	Miami 	Arizona	open
9/30/2012	4 	1:00PM	San Diego 	Kansas City	open
9/30/2012	4 	8:20PM	NY Giants 	Philadelphia	open
9/30/2012	4 	1:00PM	Carolina 	Atlanta	open
9/30/2012	4 	4:05PM	Cinncinati 	Jacksonville	open
9/30/2012	4 	1:00PM	San Francisco 	NY Jets	open
9/30/2012	4 	1:00PM	Minnesota 	Detroit	open
9/30/2012	4 	4:15PM	New Orleans 	Green Bay	open
9/30/2012	4 	1:00PM	Seattle 	St. Louis	open
9/30/2012	4 	1:00PM	Tennessee 	Houston	open
10/1/2012	4 	8:30PM	Chicago 	Dallas	open
10/4/2012	5 	8:20PM	Arizona 	St. Louis	open
10/7/2012	5 	4:15PM	Buffalo 	San Francisco	open
10/7/2012	5 	1:00PM	Miami 	Cinncinati	open
10/7/2012	5 	1:00PM	Baltimore 	Kansas City	open
10/7/2012	5 	1:00PM	Green Bay 	Indianapolis	open
10/7/2012	5 	1:00PM	Cleveland 	NY Giants	open
10/7/2012	5 	4:05PM	Chicago 	Jacksonville	open
10/7/2012	5 	4:05PM	Seattle 	Carolina	open
10/7/2012	5 	4:15PM	Denver 	New England	open
10/7/2012	5 	1:00PM	Atlanta 	Washington	open
10/7/2012	5 	8:20PM	San Diego 	New Orleans	open
